metric,mean,std
time,93.18897435638343,1.7570836003152832
rmse_c0_imputation,0.09345479952343069,0.05824677605039071
rmse_c0_forecast,0.3685406200125275,1.3058361242047927
rmse_c0_overall,0.2765457454449567,0.9204357927023139
rmse_c1_imputation,0.06391087284462484,0.0398235739503167
rmse_c1_forecast,0.13830200593785516,0.13157285810346822
rmse_c1_overall,0.11043423300380154,0.09383003948642613
rmse_c2_imputation,0.12355445241083332,0.10188258351393202
rmse_c2_forecast,0.3368217065629828,0.33333150683745966
rmse_c2_overall,0.2595054898490101,0.23961147572719468
