run,time,rmse_c0_imputation,rmse_c0_forecast,rmse_c0_overall,rmse_c1_imputation,rmse_c1_forecast,rmse_c1_overall
0,25.279510021209717,0.1203264750848112,0.10968440106490429,0.1151450258716122,0.047492310630948095,0.0552205763275889,0.051489604510256776
1,23.65221881866455,0.08236008129612424,0.08000695774384477,0.08119570963674011,0.04854449459363985,0.04667387512253412,0.0476212844061022
2,23.334310293197632,0.1390217893740008,0.1215268093127702,0.13059483831831747,0.04445186581813857,0.04573618051051816,0.04509659489253775
3,23.865609169006348,0.11006412766242255,0.10582182871713784,0.10797042362380535,0.048156440781634724,0.057998365371345784,0.05328976659165775
4,23.500311851501465,0.09274333091801441,0.08815254868009088,0.09048420953791343,0.051013871565658564,0.05674404464916242,0.05394616811230374
5,23.520379543304443,0.09319780941959124,0.11301239607417361,0.1035492744266609,0.050700375675512915,0.0685916573386967,0.060285548350405394
6,24.825165271759033,0.10215442468352959,0.08728129639153945,0.09503243774188642,0.05010415347402969,0.04529979812999318,0.04776989533983886
7,23.418601751327515,0.13625505112553507,0.15629665139882748,0.14658754510839378,0.0429255300006023,0.039871280758481155,0.041431316355188486
8,23.32360053062439,0.10417325433158908,0.17784652084234936,0.14563091197652783,0.06084139039168885,0.0786017730316463,0.07025737810384977
9,23.37029004096985,0.10987810824822825,0.15405446705330125,0.13373416693519422,0.04161543320620594,0.05144399445314979,0.04677328029738592
10,23.60560131072998,0.09952226480552376,0.1590147955428832,0.13255653592131783,0.04893841798008403,0.07111338996614788,0.06100733439012525
11,24.049472093582153,0.11026308439322843,0.11273220795562307,0.11150063501283486,0.05442454695448823,0.07403080828460419,0.0649413042713005
12,24.194556713104248,0.1223316130659549,0.19147130300559306,0.16055948104788784,0.06578419922763044,0.08665126757455327,0.07689633851083287
13,23.620571613311768,0.13083004371499268,0.12899111083153994,0.1299166953586149,0.04638301919788631,0.0425146433473777,0.04449691380276192
14,23.37088632583618,0.10654251685761928,0.11905199524205337,0.11295108227715735,0.04514220438739138,0.03831127173673145,0.041876891376382744
15,23.306742429733276,0.07942783315605789,0.14067209142371745,0.11413900442567372,0.03453171693962447,0.03470487195610688,0.03461813299724054
16,25.614086627960205,0.11947396599704367,0.11091606092985445,0.11528777765600676,0.07532604211371706,0.07660719374609229,0.07596732313762504
17,23.49104332923889,0.11150830399066726,0.14041186476329787,0.12674168644831532,0.0773298226911025,0.08421421675049845,0.08083461879694853
18,23.55842423439026,0.07420705761837504,0.06967238365702197,0.071982501304112,0.038043024493199934,0.0390071483658584,0.038526600654240614
19,23.515491724014282,0.12004418478682018,0.11030246291101987,0.11529143549151998,0.05385578871317006,0.05134980093502126,0.052621617965493736
20,25.413206815719604,0.11325817285481904,0.11053846070143412,0.11191081528895709,0.05676271769802782,0.025073677867322706,0.043924789759268945
21,23.679489850997925,0.10834968154073302,0.12750900825138275,0.1182880448836164,0.045641388834093806,0.03736252316345802,0.041720709809505756
22,23.282951593399048,0.12212436926159782,0.1696504107125561,0.14773696957120483,0.052832658180816984,0.07397459529773467,0.06424631758982734
23,25.41462016105652,0.11573977826533544,0.15681088714164215,0.13775064147870567,0.05210568300915685,0.07310203445235056,0.06344572446972156
24,23.33871102333069,0.1300566916796024,0.11457333467219356,0.12258383200576156,0.05140016081537996,0.043833788567732346,0.04777877319256409
25,24.987916469573975,0.09338445555830786,0.14583709423033214,0.1223724333114424,0.06433905950481045,0.08951216861258636,0.07790981246228544
26,23.44645595550537,0.08855104775880113,0.08405743623278243,0.08634047994740061,0.02718964502754362,0.028449090914229577,0.027824532984183015
27,23.364314079284668,0.08626399473741045,0.09554080688159539,0.09100623181583335,0.039686382017444566,0.0384610776779688,0.03908044085065924
28,23.41889238357544,0.09329925539152852,0.08755746418163667,0.09048285918021207,0.04270181840841571,0.037340538616137724,0.04011918475906456
29,23.358941793441772,0.13203610069101007,0.1203589135373636,0.12635066572994708,0.05066395155344123,0.051467840856469146,0.051066225912652245
30,23.8452730178833,0.0993400398169146,0.08713546256142397,0.09345619892915845,0.04494643255381111,0.04494585816036146,0.04494614625269768
31,23.4971706867218,0.12924683955285252,0.14890189452554348,0.139390617485125,0.07300918596479666,0.05785946791494922,0.06589474811746915
32,23.355836153030396,0.11605920407153708,0.11307943451527559,0.1145836471787511,0.04776230401870612,0.053090791305319615,0.05048859118964742
33,23.345908641815186,0.11851965633605631,0.1315005321868133,0.1251582765354261,0.04420707272477494,0.04889302791473787,0.04660168657415062
34,23.51872968673706,0.10848468633619228,0.10356495066421313,0.10606101099724646,0.04093596863561681,0.04598981528552262,0.043528427908994805
35,24.742124795913696,0.11187743642260004,0.11391809058802603,0.11289919557140014,0.03974677193333562,0.03988716612913882,0.03981681222692967
36,23.35419511795044,0.10765801368318735,0.0999645095507776,0.10389448308687128,0.07177892070565965,0.07381709840206244,0.07280196775362456
37,23.170387506484985,0.09440824753444606,0.11090482988268258,0.10296175795856391,0.04529615849809686,0.03433235665641951,0.04020679303191898
38,23.78104877471924,0.0901203002351076,0.09819882801274091,0.09423358996801008,0.05016704834267891,0.060764937618229084,0.05570210022063407
39,23.82696294784546,0.08994960797102325,0.1045048830617714,0.09747662618202306,0.0476322342805908,0.049401234957742006,0.048522041463794
40,24.47862434387207,0.10056427468266617,0.13449289954895424,0.11869428928028235,0.03870443418902977,0.04024589961979016,0.039480289619209914
41,23.336719036102295,0.10164817363340127,0.13282496555843745,0.11822023878815215,0.06390811249217615,0.07473095881031482,0.06951362703685228
42,23.370513677597046,0.11077345113343445,0.169168854428096,0.1428949482657655,0.045893882202410655,0.05583107735759661,0.051089179497865324
43,23.507972717285156,0.1514714625283287,0.1233838858446292,0.13818689727183653,0.08162335370138546,0.07628979301804957,0.07900989870515816
44,24.697864532470703,0.12244095710932475,0.10837562152751781,0.1156442325969048,0.07206981546155006,0.06756203249221679,0.06985931353967381
45,23.05439305305481,0.10933008866972768,0.13239270666096226,0.12137448292462837,0.05601345972867935,0.060332446327192375,0.05820629837580274
