run,time,rmse_c0_imputation,rmse_c0_forecast,rmse_c0_overall,rmse_c1_imputation,rmse_c1_forecast,rmse_c1_overall
0,171.9174234867096,0.11748307108461714,0.1311386876213548,0.12447700751288404,0.06149535123571098,0.06057667946384796,0.061039174622228236
1,166.17420554161072,0.1295705219357355,0.15120204395202072,0.140768706698302,0.05814707512133724,0.07681384876224095,0.06809405798932851
2,166.18527841567993,0.10367354619132535,0.10466686209366612,0.10416984089240151,0.04271106589731594,0.04564844232591843,0.04419958645191065
3,165.83866572380066,0.11168486948062796,0.08478797808929661,0.0991941881960453,0.048446463430383495,0.039043120674011514,0.04401129401777522
4,167.21851015090942,0.1052970377236354,0.11747958752611064,0.11153578988262408,0.02468095796815509,0.028337553837482283,0.026566545652685822
5,166.75368404388428,0.10699308496572724,0.09264985622121219,0.10010104076624181,0.050385051967837,0.051200823671514045,0.05079330488213509
6,166.66174602508545,0.11300339000611763,0.15710515435011113,0.136774789017403,0.049352081059201816,0.08041807538650332,0.06667134224656733
7,167.28407788276672,0.09720515769841623,0.08581037240159636,0.091702669913997,0.04671603814891604,0.03683689074480464,0.04208275287095199
8,166.38821363449097,0.1168786881252866,0.12007585028006904,0.11848307366365975,0.04722810312609645,0.05143009045369226,0.04936727895730594
9,165.68555784225464,0.10303674601534016,0.10931196216041106,0.10621093376954312,0.041434951148894276,0.045127775863272074,0.04331498298791166
10,166.7456202507019,0.10677800589000515,0.2674630778783865,0.20340932164001183,0.03823635848586343,0.10400180885519068,0.07825999634527668
11,165.86782836914062,0.10250372698871259,0.11303441274712474,0.10788123468535261,0.0420975060745834,0.0648431815783718,0.054631769721804516
12,165.7074522972107,0.08985969782170944,0.11000779961917351,0.10040900420767208,0.03732346476417679,0.022603849184744892,0.03087655272961226
13,167.08225893974304,0.09608565172936712,0.12588455615236327,0.11193473125771883,0.056836290860688074,0.054600586050900124,0.05573313239382305
14,167.1096293926239,0.14073161612794968,0.2608242706699893,0.20938535967426405,0.0661124577210188,0.06390815049595798,0.06502307904634823
15,170.5605788230896,0.07551265913728436,0.08349571969535456,0.07959190430814894,0.03480568855786571,0.045249242584633025,0.04035049794252062
16,166.45140385627747,0.10485567978522341,0.10791872469115775,0.10639345465563796,0.0386402631265205,0.039734570860049716,0.039189532221857684
17,166.85009789466858,0.08496494910268759,0.09482653014795166,0.09001552628144086,0.05416544171343196,0.049135457134506455,0.05171946887499782
18,166.97598838806152,0.09066896817791321,0.11281950624414239,0.10231095029338921,0.04875375637542187,0.0556965862774843,0.052329625227760405
19,167.135080575943,0.11381516720213053,0.16475304085820835,0.14151546235486734,0.025295484908847976,0.04061014717432238,0.03380755317566204
20,166.71046566963196,0.12206702001715887,0.14119043155913077,0.13194584478319138,0.041752590971118844,0.05541365177211056,0.04903986374306967
21,169.75831580162048,0.09056989949660452,0.11783452787940821,0.10504804021262729,0.02828060647933198,0.031647911463557915,0.030006285590633845
22,169.418292760849,0.11469182276798041,0.16532306969088528,0.1422001492709158,0.047005299240318356,0.052296070498974744,0.04971287783809844
23,166.57244491577148,0.10018650053531984,0.14510981465631012,0.12461914874068603,0.041372766564442984,0.05030468214810516,0.04604191518788452
24,167.25826287269592,0.10382036191067837,0.14348463956011664,0.12517178428414039,0.027527247343340038,0.040055738677067444,0.034348026235267184
25,168.81173944473267,0.10492227202701634,0.170437068413997,0.14142361495476355,0.05168116612926152,0.07852174871162342,0.06642936462330895
26,169.31293630599976,0.08605002407588755,0.08510806486462334,0.08558180765712349,0.047896257721267425,0.04976143280440406,0.048834845433584434
