run,time,rmse_c0_imputation,rmse_c0_forecast,rmse_c0_overall,rmse_c1_imputation,rmse_c1_forecast,rmse_c1_overall
0,329.6853814125061,0.27107812696874667,0.27121996083427163,0.2711488322502897,0.303331348510985,0.3059744540316099,0.30465165066149846
1,316.3423500061035,0.2671840031556438,0.35515935757426126,0.3141296685548909,0.33121804281969136,0.49763892225325534,0.42244536451032333
2,329.7391061782837,0.28983273104303253,0.29097050747822367,0.2904004042382784,0.3357329458819634,0.38796158424550053,0.362707218242736
3,341.22737526893616,0.25415526629850954,0.4522688527727189,0.36654196646796067,0.3165271759880063,0.6254810062457697,0.49523190773617926
4,310.1682755947113,0.29195508292005096,0.24811802624107743,0.27099269358603867,0.3429993617032005,0.28997944352683436,0.3176800195107989
5,319.45182037353516,0.2872162616825386,0.5961625809169944,0.46746807177245053,0.3671631925544876,0.8900799221488173,0.6800746276958574
6,333.9312126636505,0.2465071181374026,0.4864078199670463,0.3852340714111224,0.3143477611713502,0.6943789987793256,0.5384154898262343
7,331.25771951675415,0.2557409587300705,0.3870077311847044,0.32780755197346084,0.3144197838021823,0.4622625891456894,0.39508782920243
8,339.22838711738586,0.30810244140651577,0.6407951936005492,0.5022758865124081,0.3802074574182263,0.9489417367231234,0.7220433504346673
9,314.29617047309875,0.26194783478092415,0.3913355240999146,0.33278884981986445,0.3252271937383536,0.5567890867845331,0.45560429584864204
10,343.8310716152191,0.3653542767362169,0.7530420101769899,0.591272049721201,0.46821280086637057,1.112817182717026,0.8527632794761515
11,333.67961263656616,0.2793396999882898,0.6371636989291023,0.4914196810031703,0.37227234447559615,0.9542653214045079,0.7234652399228954
12,306.8442461490631,0.34779332548922287,0.7876569309398685,0.608197229588115,0.48296566132487495,1.1603482309977144,0.887748861834125
13,340.60798931121826,0.28570219959781196,0.6608547520955111,0.5085511329000038,0.3761990214779101,0.897589307846087,0.6874311946199441
