run,time,rmse_c0_imputation,rmse_c0_forecast,rmse_c0_overall,rmse_c1_imputation,rmse_c1_forecast,rmse_c1_overall,rmse_c2_imputation,rmse_c2_forecast,rmse_c2_overall
0,2290.3566422462463,0.6181657673085227,0.6372455251044915,0.6277484191045339,0.5452265832935903,0.5433854281413779,0.5443096520285498,1.1868046298641077,1.2395720042322305,1.2133929958616705
1,1500.8328385353088,0.5750832430929461,0.6455061784587968,0.6112001237615555,0.5259955376366686,0.5268902742630999,0.5264417023633283,1.2495092872620954,1.2841248295640342,1.2668813714034153
2,1392.7625901699066,0.5373689888384657,0.5994556073027533,0.5691627952237622,0.5408666994503053,0.5144901400420804,0.5278842720764964,1.2618966882835485,1.3074757348453008,1.2848173453581437
3,2233.9037594795227,0.5999577556400516,0.5992705295319435,0.5996153114854345,0.5229088390860924,0.5310200704188488,0.5269674268105775,1.235703714281678,1.2880369312029134,1.2620600927809014
4,1617.2141242027283,0.6283921834871743,0.6512285771682356,0.6398766920113965,0.6062013778869685,0.57970855610222,0.5931441630298565,1.2205594954248196,1.2785982710013675,1.2498254192834852
5,1479.4573938846588,0.5608501979571352,0.6025493606017733,0.5820083961298612,0.4989489652202143,0.4985742035603433,0.49876220332955484,1.173396675731336,1.2335493730346432,1.2037551189730271
6,1747.3707711696625,0.6012146309796113,0.630655520203016,0.6160651082716221,0.7946155186692447,0.7766691701128604,0.7857215375416089,1.1927145494180593,1.2404237367880195,1.2167286907400927
7,1849.724455833435,0.6276605171821505,0.6745837768840077,0.6514716559084958,0.507415646433247,0.5009941491527758,0.5042251226536354,1.229836524743191,1.3050542897155422,1.2678861527814134
8,1672.7445740699768,0.5467906617294285,0.6059849916034022,0.5770551355988616,0.4806285945629099,0.5019381524564871,0.4913657126786628,1.1630493930990022,1.2660323551163373,1.2154716201818803
9,1563.474975347519,0.5728297464856165,0.6253128077052909,0.5995640629946064,0.504909230120105,0.5186573123379742,0.5118080206757611,1.1877352498140572,1.2802183999940868,1.2346989783823794
10,1473.3800475597382,0.5249899594259292,0.6028777900795693,0.5651559165690123,0.5006131813985834,0.5052443700574489,0.5029268927869363,1.1460258650096016,1.2616689222959034,1.2050552600720918
11,2988.506728887558,0.5998022493826585,0.6279341012428026,0.6139854954735522,0.5220436094171709,0.5233199348184514,0.522680173648521,1.3121777387682882,1.3542941421212893,1.3333366398618829
12,1264.130348443985,0.5361093732245232,0.611472739332022,0.5749098821996802,0.5057238705398884,0.5201818098016797,0.5129812576368247,1.1868470415448498,1.2891836703363833,1.2389130444039316
13,1563.481175661087,0.9865496420662373,0.9874320539888863,0.9869895721675752,0.6436410113076988,0.5264183347091562,0.5881399903297828,1.4187321652416147,1.3479945655529004,1.38392557584105
14,1763.4849705696106,0.6767474000436237,0.6275988085919495,0.6527124242740785,0.5486759130125481,0.5185506691655541,0.5338727428946255,1.2364470090539932,1.2962079594742797,1.2665869044455804
15,2024.336592912674,0.5502538926484675,0.5993863779408631,0.5752683772332581,0.5098658387937584,0.5148273660031002,0.5123448800435554,1.2303602021625422,1.2895810971724861,1.2602263154649078
