run,time,rmse_c0_imputation,rmse_c0_forecast,rmse_c0_overall,rmse_c1_imputation,rmse_c1_forecast,rmse_c1_overall
0,29.87980604171753,0.233543747002418,0.21724843737584645,0.22556866960283528,0.05633095019251443,0.05760872960761911,0.05697143198958081
1,29.86785340309143,0.25104658635885635,0.2409709131802282,0.24607601788725036,0.0594403611508697,0.06171866361007275,0.06058667363170338
2,30.48607850074768,0.22849615825967828,0.2220282449297246,0.22529548777168498,0.04954494271962377,0.05712896518797475,0.05345979662035592
3,31.540825605392456,0.2353826001583795,0.21630450427588935,0.2260746030537311,0.06859203800077456,0.07144013880202503,0.07002613319796244
4,31.6162109375,0.23069837532466797,0.2383966223874982,0.23456709069085965,0.03583087919919793,0.056447626617433085,0.047245421565015044
5,33.00871133804321,0.2506576931220266,0.3301122162504798,0.292967234669579,0.06374133591945667,0.1357331335510931,0.10592852450685704
6,32.21103620529175,0.23922494338656308,0.23648805540166745,0.23786469880713126,0.0858387041391131,0.0933924984141455,0.08968339926436372
7,33.56606316566467,0.23291218895900864,0.22334613408403753,0.22819419387471165,0.04832756021585292,0.055526817403239934,0.052040615502176334
8,33.601104974746704,0.23170190770107488,0.21945835891030543,0.22568224723727817,0.061869832831687545,0.0700720795463656,0.0660855549433402
9,33.650123834609985,0.21960146595997226,0.2319180990860439,0.22582458227822474,0.06282972286519518,0.07364367710791202,0.06843379169761152
10,34.41362190246582,0.23646801001720405,0.22136947990536548,0.22906669465716817,0.04415279857825901,0.042356790767435946,0.04326691213279246
11,33.966445207595825,0.22363134773739962,0.21625254559764923,0.21998437983786237,0.04472222701575094,0.0419798667136459,0.04337699568900471
12,33.31959819793701,0.24814482611721128,0.22615245390392166,0.23743765731305302,0.058734432485984506,0.06096784519774561,0.05985807739278491
13,34.36554956436157,0.2517041289352682,0.33495691140486006,0.2961409696936117,0.05504868344959003,0.12026557962737998,0.09343058643137624
14,35.02886509895325,0.23876148514416212,0.21857504545968534,0.22892232023003362,0.037890197671084855,0.03816273943999204,0.0380262882040157
15,36.68204879760742,0.23828311326573867,0.2333850547138126,0.23585442851232336,0.040975296505839205,0.056011483860726456,0.04904955770367332
16,35.62173128128052,0.2593977671205114,0.27860811074690084,0.26914446291350913,0.05351586481637199,0.08983924920966732,0.07388780974082627
17,35.2563374042511,0.22932042449179477,0.21103786627463098,0.22039727618746785,0.051529467238296066,0.058640532810550525,0.05518857446262956
18,35.8814971446991,0.24476855203915693,0.2998068921718447,0.2735895139603079,0.07236703800649459,0.12427319361899075,0.10160959068301757
19,35.75885272026062,0.22611355116976592,0.2111597570926848,0.21878774123276928,0.04879276432652235,0.05675450045016776,0.052911195847384414
20,35.79121160507202,0.21887117366417772,0.20272236197509638,0.21097648703058144,0.024141582450984866,0.024608331766579016,0.024375347288505326
21,37.42829132080078,0.20612393207982246,0.22571904948763644,0.21611316857557641,0.048812461256575415,0.08983667905430615,0.07223422228016471
22,35.690199851989746,0.228194466705865,0.23657465007514972,0.23240927929295263,0.07170856456470504,0.0829381487801222,0.0775094985442915
23,36.472071170806885,0.27413829875759177,0.42001013786954994,0.3544325614962849,0.053224539839717755,0.1606394871969029,0.11951220026260555
24,34.98699903488159,0.24041861987984658,0.22993984722581412,0.23525390600397417,0.05763691039971262,0.05382950423566326,0.05577163740900894
25,34.836246967315674,0.23149142708722156,0.21495717945266943,0.22340307264873055,0.07538293865552474,0.0712035653090398,0.07332954277792247
26,34.31569218635559,0.23762112274929653,0.27236176131298717,0.2555284068821698,0.07241316404825825,0.10546313096313618,0.09040969053062786
27,35.24101638793945,0.24803310039158016,0.24151506585239418,0.24480592966329287,0.06101520822785475,0.06362716905831933,0.062330803254566594
28,35.796926975250244,0.2237599685766415,0.2077519938477004,0.21592930971704077,0.056347086497892274,0.047681297557959836,0.05220779954904109
29,35.38086438179016,0.2761945425929528,0.39301108373429633,0.3394831392669479,0.07432891266602913,0.14640664453467597,0.11599596671982812
30,35.11453032493591,0.22490038592801867,0.21219193380852688,0.2186583007039727,0.07153013322455484,0.0720861524301875,0.07180781491865668
31,34.56977844238281,0.20511365579533905,0.194140221965759,0.19971941084079384,0.045607325138780914,0.04666410429861672,0.04613709443173062
32,35.83521509170532,0.22937481579504862,0.22764871984580864,0.22851608619132593,0.06272714494286158,0.06602180236043159,0.06439041720292946
33,36.24769902229309,0.23837705962229114,0.2610489636955126,0.24993490157212417,0.048366259167051485,0.06379762758458729,0.056586395358224975
34,36.398107051849365,0.23095376792105862,0.21359824755513393,0.2224723464701733,0.04584356012629029,0.05091363511936215,0.04843708291378847
35,36.65021204948425,0.2629669795286483,0.26735490245760707,0.26516318271338635,0.07444310271039986,0.07735860735112537,0.0759103119574498
36,36.21292448043823,0.2517265709818373,0.23329840206592573,0.24271614651895454,0.05586973208048669,0.06036325255175537,0.05815291107598656
37,36.75662899017334,0.23382017548072243,0.28077051271348574,0.258291201777078,0.048498780642246775,0.07217532176711608,0.06145123282590135
38,37.53362059593201,0.2257429817818095,0.20804984897406884,0.2171042878658351,0.0615058436766543,0.06441985038615963,0.0629751649024301
39,39.26513695716858,0.24237844919022924,0.2215037502836463,0.23220830129496906,0.03839475780182494,0.031196241913160408,0.034992310112637495
40,38.69941592216492,0.2222773251937388,0.23667746748361249,0.2295679028959458,0.07531443496328778,0.09194057146849523,0.08401389722305766
41,38.329758644104004,0.26240058692065404,0.4397492527625311,0.3618325192142452,0.0828296988865622,0.20382915285228514,0.15540113875377765
42,38.3361542224884,0.24331739176782957,0.22930931767242793,0.23643893630169247,0.05393646290738449,0.04889587982635183,0.05148574485053417
43,37.511192321777344,0.22737444962069894,0.24879061135720723,0.2382898868273782,0.05801276603512944,0.07112211899038169,0.06487897609973237
44,37.594473361968994,0.21290736033620083,0.20895013044877914,0.210944188925253,0.04341161230416676,0.03897254524299453,0.04125873631920713
45,37.63719606399536,0.22499944954524786,0.2824750833209565,0.2552705043231933,0.07774714185395709,0.13337560633017795,0.10908043685205046
46,37.39669227600098,0.22356526879334532,0.20950603030448775,0.2166716108653065,0.046212301041365984,0.04730959381821051,0.046762456861811456
47,37.45599365234375,0.24263425712843528,0.3277143367028429,0.2881986294574424,0.05667228744317134,0.13618803720162828,0.10419010438933168
48,36.91344428062439,0.23676447365595843,0.2325856391717452,0.23469086647851198,0.0380935316388782,0.04141993215418407,0.039786329088609504
49,35.465789794921875,0.20945335123411304,0.1946950222729414,0.2022318461669444,0.034490077946157834,0.03336398372292443,0.0339334563829497
50,35.13131070137024,0.29223357613375833,0.4725256393102586,0.3925884677769595,0.10344955385928298,0.20771362923654682,0.1639293948433702
