run,time,rmse_c0_imputation,rmse_c0_forecast,rmse_c0_overall,rmse_c1_imputation,rmse_c1_forecast,rmse_c1_overall
0,127.64122581481934,0.09532481021762144,0.0886000138711153,0.09203432793803758,0.05059538292380578,0.05316823656498514,0.05189374950191859
1,124.44305801391602,0.13183214935344745,0.16690027909654517,0.15033759225554927,0.03938245471397271,0.06061879530424424,0.05108326691937323
2,123.68317317962646,0.1429591332139824,0.13644281286772833,0.13974910881606034,0.03531677676751981,0.029329363367631197,0.03247069510383078
3,125.99549603462219,0.1480790941046701,0.16043656078602764,0.15436228698766738,0.049533354826712284,0.043634935251939753,0.04668657620289641
4,126.30022263526917,0.1379679314776365,0.14902779940183092,0.14358716314511047,0.05940011185587111,0.08841683988342611,0.07527466034778571
5,124.67882251739502,0.113422226136734,0.10992195562383714,0.1116912555107444,0.05238544640032319,0.038664569108452965,0.046060154992587386
6,125.49772024154663,0.11359557785844533,0.10004243805817702,0.10705481041176443,0.0717239940793322,0.05995020219342657,0.06611802961000766
7,124.59725069999695,0.16244507128260072,0.17125534773893253,0.1668946321135957,0.08373239885138223,0.08556975738892511,0.08465320116641188
8,126.57647681236267,0.13082062878350306,0.1235401394949261,0.12724380544804917,0.0724954800912529,0.06316639907157147,0.06800562949683017
9,125.64447259902954,0.12813440481923644,0.1195471667920453,0.12392856136699151,0.050011382571113594,0.049248515683903114,0.04963260308558318
10,124.9927568435669,0.13218380478335787,0.1206780604081514,0.12657965071463517,0.06272058057188293,0.06124412555053459,0.06198904872388183
11,124.13902401924133,0.13881373574263953,0.13766668616172414,0.13824318730870205,0.06771791483333701,0.05816547240556135,0.06313748591831268
12,124.6934905052185,0.12388951890956847,0.1194357008286589,0.12168992485484398,0.043735860897474374,0.04435036615005986,0.044043228074926555
13,125.26109409332275,0.11474443760652502,0.11880509992487581,0.11678609360532877,0.06321680151993626,0.056742341146084674,0.06007693737237884
14,125.62209510803223,0.13728946608783915,0.13234359753382838,0.13484691270027593,0.04886965976336781,0.04474574100014,0.04685951167775798
