run,time,rmse_c0_imputation,rmse_c0_forecast,rmse_c0_overall,rmse_c1_imputation,rmse_c1_forecast,rmse_c1_overall,rmse_c2_imputation,rmse_c2_forecast,rmse_c2_overall
0,100.94136643409729,0.09553552378020692,0.22721256035921217,0.17409794624407093,0.07635176052580812,0.16311015648493662,0.12721987624596404,0.1498749272756026,0.4166021329429426,0.31268924713836366
1,102.73888778686523,0.037788790860211606,0.06126083936691965,0.05086079277093028,0.04097468233081564,0.04536756405724549,0.04322012764811222,0.07617336182511904,0.09737751610147573,0.08738792113517461
2,101.37548804283142,0.08475868294351444,0.11200367270142167,0.09927778391374437,0.04778823109347106,0.06645323400566289,0.05784939328937996,0.12359757618268097,0.144800536336876,0.13458422586867366
3,101.14307236671448,0.05733251675154348,0.15154777047577644,0.11443871003241107,0.054929208069376685,0.12668136915140293,0.09753151368931134,0.10017871387701462,0.31734264460561007,0.23501028268487578
4,100.2602186203003,0.06235574551049895,0.07888038770838837,0.07107420038131039,0.03849162013794364,0.062123960260136966,0.05164099069478374,0.07000514914336446,0.14185701946979534,0.11175131354844554
5,97.94456839561462,0.0652273653308775,0.10474936946741524,0.08719550389750394,0.052476177372916426,0.08740633242757585,0.07203608328285746,0.07569443991300327,0.15552568575639236,0.12218916434351233
6,97.36220264434814,0.04820093806496,0.08595893857902628,0.06962933591361113,0.062490243210033936,0.08091225135013201,0.07226199944326486,0.08891648944042627,0.15039400042817838,0.12344769139013033
7,99.63593649864197,0.07428826210337933,0.14915112875767012,0.11771298799553592,0.07020153335393621,0.06196667827753895,0.06622505233218433,0.08285247102997911,0.0717088885044848,0.07749858797562667
8,99.32690644264221,0.07545872242262074,0.47213594179252416,0.3375867841822769,0.05895099245780812,0.14766230327943522,0.11229932286421732,0.07806473203436089,0.41985942417615957,0.3015342918225881
9,96.79818964004517,0.07409130316156157,0.10876272483556412,0.09300296052732242,0.06517368655349758,0.08606725411364308,0.07630641365156429,0.1151297768790595,0.18940936037366912,0.15662104071761745
10,102.48781180381775,0.07988936676447865,0.09365222231297596,0.08702186242856674,0.05837990270623211,0.07241267980293213,0.06574987274396236,0.07667646188301433,0.08136900860581613,0.07905025293011991
11,102.70681881904602,0.07091849212418885,0.11359534122208187,0.09462769947638469,0.04264830807134525,0.06949486565979483,0.05761525638666203,0.07416074984555687,0.23529629600125818,0.1742251740052511
12,101.26446866989136,0.08385849091856802,0.17985236149964487,0.14017891545209257,0.05726004817056536,0.09485849965970479,0.07829122096589665,0.08495264585020328,0.2642744085733207,0.19603931325988308
13,99.16563272476196,0.07885538005885791,0.13439832930751872,0.11010036871749632,0.06719244835861456,0.13161726733545656,0.10439834527819544,0.09312294911492741,0.2553823206071281,0.19198417977835464
14,101.17997574806213,0.060210547783496444,0.1261117374396107,0.09871987764203845,0.039427896438743226,0.05665044205314152,0.04877846210918631,0.08768204806937499,0.18474527153767178,0.14445861168224147
15,102.48369407653809,0.07651580952350354,0.4064602380166082,0.29203438185965186,0.04285938373292104,0.13885719560853657,0.10262529814742657,0.11452174382305307,0.46683291507614816,0.33941872289914876
16,103.09696507453918,0.06104064294935527,0.14930453777441907,0.11392973151029102,0.054033678528836816,0.11984401308991674,0.09286166612890737,0.09818797119433835,0.3186286704837684,0.2354557987921027
17,98.50263953208923,0.06367017356265864,0.08472001465908408,0.07490541060474938,0.055160267380280396,0.07064383398857724,0.06335273540132717,0.06401179834001243,0.12626492123239516,0.10000859801065116
18,101.33724737167358,0.0884691292215771,0.12975168714721824,0.11098248198423082,0.08044918908453035,0.11021256087250746,0.0964396243548942,0.09395614484844052,0.22239384582932978,0.1705288870931046
19,101.94990801811218,0.07620218310671456,0.20687886261198557,0.15570869652449332,0.07594198675773337,0.12885707162801124,0.10568247315104302,0.11412074194369734,0.31366588324207884,0.23573703835510426
