run,time,rmse_c0_imputation,rmse_c0_forecast,rmse_c0_overall,rmse_c1_imputation,rmse_c1_forecast,rmse_c1_overall,rmse_c2_imputation,rmse_c2_forecast,rmse_c2_overall
0,1008.0604424476624,0.6787858371875916,0.6704637411282242,0.674650583987163,0.5431388224179341,0.5486847556183432,0.5459101931519692,1.188058266876588,1.2276464711962267,1.2079528923617333
1,1859.8581199645996,0.5916346187868968,0.6041848690549724,0.5979231241412301,0.5472708231922156,0.5487915646970454,0.5480293526768797,1.3618888343845565,1.387790192404818,1.374860164686975
2,2387.85595703125,0.6596396856993392,0.6448932725740585,0.6523311187106198,0.5325070403456249,0.4999404770318465,0.5165312062082644,1.2699371416421863,1.2602763025234358,1.2651309916191509
3,1424.4024879932404,0.5895382456793439,0.5994850555717033,0.5945169597121766,0.5070164219146976,0.5130370780253626,0.5100262559220569,1.2584317879481761,1.2707527719648966,1.2645880938789464
4,1641.8947577476501,0.6714248804044838,0.648010853186137,0.6598581956360733,0.48523361803014586,0.4947361538586014,0.48999312037987897,1.262459765553935,1.2666348186289993,1.264542511938696
5,1515.0910334587097,0.6361683694922676,0.6513081198257742,0.6437591701583005,0.500600548861505,0.4933585964476557,0.4970040435063673,1.23046981086282,1.2488402689154035,1.2396604544524337
6,1706.5567438602448,0.8147378443373869,0.819156716270067,0.8169433850289054,0.4948996360895191,0.5001937944753174,0.49754551050657986,1.1894488687841502,1.2271370781644146,1.2083812088322434
7,1792.822294473648,0.63364971191218,0.6083487604050368,0.621167475393505,0.472906166507252,0.498441137464218,0.4858016781112246,1.2190466798421218,1.2538554613763913,1.2365193422832523
8,1611.6102018356323,0.5900325195610138,0.6027765430737962,0.596418720069039,0.48997488201295203,0.4960302908708351,0.49300245144634347,1.2369530081294202,1.267560741319022,1.2523027127811208
9,1902.2217228412628,0.6656702056622282,0.6480986803129449,0.6569705616611108,0.5349625168465506,0.4963012921641921,0.5160542957861071,1.2453721934859638,1.251337011192552,1.2483488739273374
10,1451.1233100891113,0.6804727204081796,0.7167205161259768,0.6987752315032006,0.4861903350193277,0.4940859385898574,0.4901417370643986,1.3494133931239143,1.3501015724049354,1.349756454692561
11,2570.547133922577,0.6449491938084171,0.6159048416905109,0.6306394848698909,0.5035922866355764,0.49794973618720567,0.5007877474900286,1.243012420078808,1.2629124191764913,1.2529709300819079
12,1223.7942335605621,0.6156395561026936,0.6543487279054199,0.6352287673452215,0.5002770790816281,0.5235999424042207,0.5120349909014118,1.3090559540751199,1.321659001798847,1.315352941466598
13,2085.2692399024963,0.6413475657114261,0.611465788448835,0.6266313646963698,0.49627205202360847,0.5005678997765591,0.49841791274649516,1.2718528781781484,1.2544943233203631,1.2632304554147222
14,2677.940934419632,0.609661509684919,0.6006080506389365,0.6051658124977785,0.5020421076170678,0.4966592052156994,0.4993662940840801,1.2694979042563832,1.303896885152601,1.2867587664474576
15,1692.626024723053,0.6627026831631261,0.6204670450672375,0.641998066038866,0.4984506803995071,0.4933582586842818,0.49591893818438126,1.2558755400154389,1.2676479967378693,1.2617571610917986
16,1582.6987268924713,0.5934075858311189,0.6484312107401777,0.621442970219084,0.49268636016339734,0.5084172469409126,0.5005890962241324,1.275580869753488,1.3062440120850622,1.2909557212865854
17,3079.769855737686,0.7974859844144727,0.7538793012302003,0.7760569062561685,0.5922017035666475,0.5786753954169125,0.58549868036759,1.4535450030619304,1.4309113314234199,1.4423078202994126
18,1658.3158371448517,0.6040405366430961,0.625326785187158,0.6147426437156428,0.48978442119710247,0.4969615142800788,0.49337483910263585,1.26595385944904,1.2907208365812703,1.2783587505535334
19,1766.0481479167938,0.6185860267594753,0.6244522854097272,0.621516939750504,0.4899700219715418,0.49704027679909424,0.4935067981207602,1.2732537109378435,1.2878205538917555,1.2805351558989568
20,1447.6473908424377,0.61864739326914,0.6517924961454696,0.6353844800506337,0.48266037245944665,0.49552613868352546,0.4891155197308598,1.29432841526486,1.3371670086694416,1.3158553251019458
21,1942.8006236553192,0.6073421103787299,0.6211435388278689,0.6142600898635683,0.5165333363907009,0.49955164735782787,0.5081398869278286,1.30424967993896,1.3044565669492278,1.3043528052920093
22,1915.4539086818695,0.6332589093095217,0.6355586403989154,0.6344062347788041,0.5089983670161653,0.49375286988376565,0.5014573055458965,1.2626965571781814,1.2703584549954752,1.2665213655130196
23,1701.8652966022491,0.6147455260349466,0.6145785146804308,0.6146622861723121,0.4862502471313653,0.4935956841884809,0.4899252904721813,1.2595881867396614,1.2643514599367758,1.2619646512557479
24,2487.1138954162598,0.5879640415686329,0.6301084144473857,0.6093350500049018,0.5779698243678565,0.5714814675942441,0.5747449084090881,1.3809943465314798,1.3961875468757592,1.3885880607374022
25,1231.8878147602081,0.5925454695178114,0.617485820267633,0.605105303782965,0.48019717425610464,0.4965663834108281,0.48842486106111477,1.255036705489911,1.2933248858728812,1.274264970390497
26,1544.5850400924683,0.7430040247276246,0.7358708713846095,0.7394571600745855,0.4952214278602944,0.4946316309200661,0.4949275359325628,1.2171232741372777,1.2419721581525394,1.229571784280233
27,1451.7934415340424,0.6156046850352397,0.630962325331878,0.623306884518065,0.49717105520028837,0.49679166885348275,0.49698198917301717,1.25174979728845,1.2514039817723055,1.2515774401274784
28,2741.2314016819,0.6204521332025067,0.6333446743904922,0.6269114646746118,0.5179663462596589,0.5101139163347991,0.5140673559005187,1.3103135381666886,1.2899471128851352,1.300201926736993
29,1951.0812075138092,0.6696635211381189,0.6188748015873786,0.6448484800772788,0.4983778975603614,0.49575039755418515,0.4970699763353673,1.2777571121423745,1.2832702994712821,1.2805080853691195
30,2442.1552217006683,0.6300923338803351,0.6746550521393506,0.6526847085193265,0.5027397779589657,0.5129923242431028,0.5078759529669606,1.2650630267977203,1.320767812594927,1.2931286370646742
31,2146.16819357872,0.6278260156085277,0.638843244808483,0.6333414257783809,0.500398636355646,0.49786890200286754,0.49913931221019686,1.2755690069147068,1.28001071557124,1.277784872654611
32,1516.7369890213013,0.5804994074841099,0.6088401350017305,0.5947944462724741,0.5434534045533291,0.5189511134608299,0.5313816686783602,1.27587420240277,1.2752228122998794,1.2755495635582557
33,3399.274158000946,0.6717655843768038,0.6406661412098414,0.6564484965210027,0.5266864755519627,0.529128946966366,0.5279053193544156,1.3028113278167406,1.2962765273184809,1.2995582138641655
34,1541.33132314682,0.6047652771293636,0.5993336077518379,0.6020640283499202,0.48650347177622755,0.4980241652368997,0.49227957630940106,1.4360301718147053,1.479630067811488,1.4579251989963489
35,1745.1722474098206,0.5808516029783345,0.6047151401299038,0.5928662787198837,0.4839169335934349,0.49416519122900215,0.489051944355351,1.2948093194110126,1.3078117963038214,1.3013065445930665
36,1320.2906925678253,0.6542836166130557,0.6009589361534531,0.6282703301252093,0.5512675036383191,0.4985741291154251,0.5256635607970604,1.295650757361548,1.309902995228345,1.3027741662869203
37,1577.3674936294556,0.6156037364546193,0.6285883719083413,0.62210970630013,0.49382530098794686,0.49452949339456637,0.49417642574981707,1.2718262518398333,1.288753423382551,1.2802914463258046
38,1756.2541201114655,0.6213788747996646,0.6112426769899947,0.6163474014864682,0.4920881962591311,0.495599047585862,0.493841273235387,1.285924938926579,1.2999361329800811,1.2929276911756677
39,1884.1599190235138,0.6129020703512287,0.6152035554857632,0.6140503062984719,0.5198829438907419,0.5234986977419839,0.5216883213199358,1.2422264039621487,1.2522985885853963,1.2472569746568665
